10 26 157 74 48 93 68 17 21 23 53
set([257, 226, 227, 232, 234, 268, 237, 273, 274, 277, 279, 282])
215 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
246 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
247 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
248 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
249 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
250 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
251 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
252 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
253 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
254 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
255 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
256 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
257 Y 39 set([93]) {68: 4, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 29, 21: 6}
258 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
259 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
260 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
261 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
262 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
263 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
264 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
265 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
266 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
267 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
268 Y 55 set([48]) {68: 24, 74: 3, 157: 0, 48: 8, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 20}
269 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
270 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
271 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
272 N 94 set([]) {68: 8, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 42, 21: 44}
273 Y 236 set([74]) {68: 4, 74: 4, 157: 0, 48: 3, 17: 0, 53: 0, 23: 218, 26: 0, 93: 0, 21: 7}
274 Y 209 set([23]) {68: 18, 74: 1, 157: 0, 48: 1, 17: 0, 53: 113, 23: 70, 26: 0, 93: 0, 21: 6}
275 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
276 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
277 Y 1694 set([53]) {68: 3, 74: 7, 157: 0, 48: 12, 17: 0, 53: 1486, 23: 180, 26: 0, 93: 0, 21: 6}
278 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
279 Y 21 set([26]) {68: 5, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 16}
280 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
281 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
282 Y 106 set([17]) {68: 16, 74: 0, 157: 0, 48: 0, 17: 84, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
283 N 12 set([]) {68: 4, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 8}
284 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
285 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
286 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
287 Y 73 set([157]) {68: 4, 74: 0, 157: 63, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
288 N 2509 set([]) {68: 15, 74: 6, 157: 0, 48: 4, 17: 0, 53: 2373, 23: 90, 26: 0, 93: 0, 21: 21}
289 N 14 set([]) {68: 8, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
290 N 18 set([]) {68: 12, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
291 N 16 set([]) {68: 4, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 12}
292 N 14 set([]) {68: 2, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 12}
293 N 33 set([]) {68: 9, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 24}
294 N 10 set([]) {68: 4, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
295 N 79 set([]) {68: 25, 74: 7, 157: 0, 48: 1, 17: 0, 53: 0, 23: 0, 26: 0, 93: 4, 21: 42}
296 N 15 set([]) {68: 3, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 12}
297 N 776 set([]) {68: 5, 74: 35, 157: 0, 48: 74, 17: 0, 53: 306, 23: 332, 26: 0, 93: 18, 21: 6}
298 N 13 set([]) {68: 1, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 12}
299 N 10 set([]) {68: 4, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
300 N 17 set([]) {68: 4, 74: 4, 157: 0, 48: 3, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
301 N 29 set([]) {68: 4, 74: 5, 157: 0, 48: 4, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 16}
302 N 51 set([]) {68: 3, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 48}
